test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9092,-51,FFCD,FFCD,-51,0,0.0,0,1
9093,110,006E,006E,110,0,0.0,0,1
9094,98,0062,0062,98,0,0.0,0,1
9095,-56,FFC8,FFC8,-56,0,0.0,0,1
9096,-86,FFAA,FFAA,-86,0,0.0,0,1
9097,117,0075,0075,117,0,0.0,0,1
9098,119,0077,0077,119,0,0.0,0,1
9099,-35,FFDD,FFDD,-35,0,0.0,0,1
9100,-9,FFF7,FFF7,-9,0,0.0,0,1
9101,20,0014,0014,20,0,0.0,0,1
9102,-146,FF6E,FF6E,-146,0,0.0,0,1
9103,69,0045,0045,69,0,0.0,0,1
9104,-18,FFEE,FFEE,-18,0,0.0,0,1
9105,108,006C,006C,108,0,0.0,0,1
9106,-81,FFAF,FFAF,-81,0,0.0,0,1
9107,-94,FFA2,FFA2,-94,0,0.0,0,1
9108,-121,FF87,FF87,-121,0,0.0,0,1
9109,-15,FFF1,FFF1,-15,0,0.0,0,1
9110,-56,FFC8,FFC8,-56,0,0.0,0,1
9111,11,000B,000B,11,0,0.0,0,1
9112,56,0038,0038,56,0,0.0,0,1
9113,-113,FF8F,FF8F,-113,0,0.0,0,1
9114,86,0056,0056,86,0,0.0,0,1
9115,64,0040,0040,64,0,0.0,0,1
9116,143,008F,008F,143,0,0.0,0,1
9117,-41,FFD7,FFD7,-41,0,0.0,0,1
9118,216,00D8,00D8,216,0,0.0,0,1
9119,58,003A,003A,58,0,0.0,0,1
9120,-95,FFA1,FFA1,-95,0,0.0,0,1
9121,-59,FFC5,FFC5,-59,0,0.0,0,1
9122,-42,FFD6,FFD6,-42,0,0.0,0,1
9123,93,005D,005D,93,0,0.0,0,1
9124,75,004B,004B,75,0,0.0,0,1
9125,-72,FFB8,FFB8,-72,0,0.0,0,1
9126,27,001B,001B,27,0,0.0,0,1
9127,-108,FF94,FF94,-108,0,0.0,0,1
9128,81,0051,0051,81,0,0.0,0,1
9129,69,0045,0045,69,0,0.0,0,1
9130,195,00C3,00C3,195,0,0.0,0,1
9131,-37,FFDB,FFDB,-37,0,0.0,0,1
9132,-8,FFF8,FFF8,-8,0,0.0,0,1
9133,-90,FFA6,FFA6,-90,0,0.0,0,1
9134,26,001A,001A,26,0,0.0,0,1
9135,51,0033,0033,51,0,0.0,0,1
9136,-25,FFE7,FFE7,-25,0,0.0,0,1
9137,-7,FFF9,FFF9,-7,0,0.0,0,1
9138,-19,FFED,FFED,-19,0,0.0,0,1
9139,-10,FFF6,FFF6,-10,0,0.0,0,1
9140,35,0023,0023,35,0,0.0,0,1
9141,-106,FF96,FF96,-106,0,0.0,0,1
