fault_id,format,target_id,target_name,vector_id,bit_id,fault_type
153,FP16,0,R,9,9,bflip
154,FP16,0,R,9,10,bflip
155,FP16,0,R,9,11,bflip
156,FP16,0,R,9,12,bflip
157,FP16,0,R,9,13,bflip
158,FP16,0,R,9,14,bflip
159,FP16,0,R,9,15,bflip
160,FP16,0,R,10,0,bflip
161,FP16,0,R,10,1,bflip
162,FP16,0,R,10,2,bflip
163,FP16,0,R,10,3,bflip
164,FP16,0,R,10,4,bflip
165,FP16,0,R,10,5,bflip
166,FP16,0,R,10,6,bflip
167,FP16,0,R,10,7,bflip
168,FP16,0,R,10,8,bflip
169,FP16,0,R,10,9,bflip
170,FP16,0,R,10,10,bflip
171,FP16,0,R,10,11,bflip
172,FP16,0,R,10,12,bflip
173,FP16,0,R,10,13,bflip
174,FP16,0,R,10,14,bflip
175,FP16,0,R,10,15,bflip
176,FP16,0,R,11,0,bflip
177,FP16,0,R,11,1,bflip
178,FP16,0,R,11,2,bflip
179,FP16,0,R,11,3,bflip
180,FP16,0,R,11,4,bflip
181,FP16,0,R,11,5,bflip
182,FP16,0,R,11,6,bflip
183,FP16,0,R,11,7,bflip
184,FP16,0,R,11,8,bflip
185,FP16,0,R,11,9,bflip
186,FP16,0,R,11,10,bflip
187,FP16,0,R,11,11,bflip
188,FP16,0,R,11,12,bflip
189,FP16,0,R,11,13,bflip
190,FP16,0,R,11,14,bflip
191,FP16,0,R,11,15,bflip
192,FP16,0,R,12,0,bflip
193,FP16,0,R,12,1,bflip
194,FP16,0,R,12,2,bflip
195,FP16,0,R,12,3,bflip
196,FP16,0,R,12,4,bflip
197,FP16,0,R,12,5,bflip
198,FP16,0,R,12,6,bflip
199,FP16,0,R,12,7,bflip
200,FP16,0,R,12,8,bflip
201,FP16,0,R,12,9,bflip
202,FP16,0,R,12,10,bflip
203,FP16,0,R,12,11,bflip
204,FP16,0,R,12,12,bflip
205,FP16,0,R,12,13,bflip
206,FP16,0,R,12,14,bflip
207,FP16,0,R,12,15,bflip
208,FP16,0,R,13,0,bflip
209,FP16,0,R,13,1,bflip
210,FP16,0,R,13,2,bflip
211,FP16,0,R,13,3,bflip
212,FP16,0,R,13,4,bflip
213,FP16,0,R,13,5,bflip
214,FP16,0,R,13,6,bflip
215,FP16,0,R,13,7,bflip
216,FP16,0,R,13,8,bflip
217,FP16,0,R,13,9,bflip
218,FP16,0,R,13,10,bflip
219,FP16,0,R,13,11,bflip
220,FP16,0,R,13,12,bflip
221,FP16,0,R,13,13,bflip
222,FP16,0,R,13,14,bflip
223,FP16,0,R,13,15,bflip
224,FP16,0,R,14,0,bflip
225,FP16,0,R,14,1,bflip
226,FP16,0,R,14,2,bflip
227,FP16,0,R,14,3,bflip
228,FP16,0,R,14,4,bflip
229,FP16,0,R,14,5,bflip
230,FP16,0,R,14,6,bflip
231,FP16,0,R,14,7,bflip
232,FP16,0,R,14,8,bflip
233,FP16,0,R,14,9,bflip
234,FP16,0,R,14,10,bflip
235,FP16,0,R,14,11,bflip
236,FP16,0,R,14,12,bflip
237,FP16,0,R,14,13,bflip
238,FP16,0,R,14,14,bflip
239,FP16,0,R,14,15,bflip
240,FP16,0,R,15,0,bflip
241,FP16,0,R,15,1,bflip
242,FP16,0,R,15,2,bflip
243,FP16,0,R,15,3,bflip
244,FP16,0,R,15,4,bflip
245,FP16,0,R,15,5,bflip
246,FP16,0,R,15,6,bflip
247,FP16,0,R,15,7,bflip
248,FP16,0,R,15,8,bflip
249,FP16,0,R,15,9,bflip
250,FP16,0,R,15,10,bflip
251,FP16,0,R,15,11,bflip
252,FP16,0,R,15,12,bflip
253,FP16,0,R,15,13,bflip
254,FP16,0,R,15,14,bflip
255,FP16,0,R,15,15,bflip
256,FP16,0,R,16,0,bflip
257,FP16,0,R,16,1,bflip
258,FP16,0,R,16,2,bflip
259,FP16,0,R,16,3,bflip
260,FP16,0,R,16,4,bflip
261,FP16,0,R,16,5,bflip
262,FP16,0,R,16,6,bflip
263,FP16,0,R,16,7,bflip
264,FP16,0,R,16,8,bflip
265,FP16,0,R,16,9,bflip
266,FP16,0,R,16,10,bflip
267,FP16,0,R,16,11,bflip
268,FP16,0,R,16,12,bflip
269,FP16,0,R,16,13,bflip
270,FP16,0,R,16,14,bflip
271,FP16,0,R,16,15,bflip
272,FP16,0,R,17,0,bflip
273,FP16,0,R,17,1,bflip
274,FP16,0,R,17,2,bflip
275,FP16,0,R,17,3,bflip
276,FP16,0,R,17,4,bflip
277,FP16,0,R,17,5,bflip
278,FP16,0,R,17,6,bflip
279,FP16,0,R,17,7,bflip
280,FP16,0,R,17,8,bflip
281,FP16,0,R,17,9,bflip
282,FP16,0,R,17,10,bflip
283,FP16,0,R,17,11,bflip
284,FP16,0,R,17,12,bflip
285,FP16,0,R,17,13,bflip
286,FP16,0,R,17,14,bflip
287,FP16,0,R,17,15,bflip
288,FP16,0,R,18,0,bflip
289,FP16,0,R,18,1,bflip
290,FP16,0,R,18,2,bflip
291,FP16,0,R,18,3,bflip
292,FP16,0,R,18,4,bflip
293,FP16,0,R,18,5,bflip
294,FP16,0,R,18,6,bflip
295,FP16,0,R,18,7,bflip
296,FP16,0,R,18,8,bflip
297,FP16,0,R,18,9,bflip
298,FP16,0,R,18,10,bflip
299,FP16,0,R,18,11,bflip
300,FP16,0,R,18,12,bflip
301,FP16,0,R,18,13,bflip
302,FP16,0,R,18,14,bflip
303,FP16,0,R,18,15,bflip
304,FP16,0,R,19,0,bflip
305,FP16,0,R,19,1,bflip
306,FP16,0,R,19,2,bflip
307,FP16,0,R,19,3,bflip
308,FP16,0,R,19,4,bflip
309,FP16,0,R,19,5,bflip
310,FP16,0,R,19,6,bflip
311,FP16,0,R,19,7,bflip
312,FP16,0,R,19,8,bflip
313,FP16,0,R,19,9,bflip
314,FP16,0,R,19,10,bflip
315,FP16,0,R,19,11,bflip
316,FP16,0,R,19,12,bflip
317,FP16,0,R,19,13,bflip
318,FP16,0,R,19,14,bflip
319,FP16,0,R,19,15,bflip
320,FP16,0,R,20,0,bflip
321,FP16,0,R,20,1,bflip
322,FP16,0,R,20,2,bflip
323,FP16,0,R,20,3,bflip
324,FP16,0,R,20,4,bflip
325,FP16,0,R,20,5,bflip
326,FP16,0,R,20,6,bflip
327,FP16,0,R,20,7,bflip
328,FP16,0,R,20,8,bflip
329,FP16,0,R,20,9,bflip
330,FP16,0,R,20,10,bflip
331,FP16,0,R,20,11,bflip
332,FP16,0,R,20,12,bflip
333,FP16,0,R,20,13,bflip
334,FP16,0,R,20,14,bflip
335,FP16,0,R,20,15,bflip
336,FP16,0,R,21,0,bflip
337,FP16,0,R,21,1,bflip
338,FP16,0,R,21,2,bflip
339,FP16,0,R,21,3,bflip
340,FP16,0,R,21,4,bflip
341,FP16,0,R,21,5,bflip
342,FP16,0,R,21,6,bflip
343,FP16,0,R,21,7,bflip
344,FP16,0,R,21,8,bflip
345,FP16,0,R,21,9,bflip
346,FP16,0,R,21,10,bflip
347,FP16,0,R,21,11,bflip
348,FP16,0,R,21,12,bflip
349,FP16,0,R,21,13,bflip
350,FP16,0,R,21,14,bflip
351,FP16,0,R,21,15,bflip
352,FP16,0,R,22,0,bflip
353,FP16,0,R,22,1,bflip
354,FP16,0,R,22,2,bflip
355,FP16,0,R,22,3,bflip
356,FP16,0,R,22,4,bflip
357,FP16,0,R,22,5,bflip
358,FP16,0,R,22,6,bflip
359,FP16,0,R,22,7,bflip
360,FP16,0,R,22,8,bflip
361,FP16,0,R,22,9,bflip
362,FP16,0,R,22,10,bflip
363,FP16,0,R,22,11,bflip
364,FP16,0,R,22,12,bflip
365,FP16,0,R,22,13,bflip
366,FP16,0,R,22,14,bflip
367,FP16,0,R,22,15,bflip
368,FP16,0,R,23,0,bflip
369,FP16,0,R,23,1,bflip
370,FP16,0,R,23,2,bflip
371,FP16,0,R,23,3,bflip
372,FP16,0,R,23,4,bflip
373,FP16,0,R,23,5,bflip
374,FP16,0,R,23,6,bflip
375,FP16,0,R,23,7,bflip
376,FP16,0,R,23,8,bflip
377,FP16,0,R,23,9,bflip
378,FP16,0,R,23,10,bflip
379,FP16,0,R,23,11,bflip
380,FP16,0,R,23,12,bflip
381,FP16,0,R,23,13,bflip
382,FP16,0,R,23,14,bflip
383,FP16,0,R,23,15,bflip
384,FP16,0,R,24,0,bflip
385,FP16,0,R,24,1,bflip
386,FP16,0,R,24,2,bflip
387,FP16,0,R,24,3,bflip
